Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree
326,0.23774954627949182,0.24849699398797595,266,0
327,0.039927404718693285,0.04008016032064128,24,75
328,0.21415607985480944,0.22444889779559118,228,0
329,0.2776769509981851,0.3026052104208417,303,0
330,0.11433756805807622,0.12625250501002003,144,0
331,0.003629764065335753,0.004008016032064128,2,952
332,0.007259528130671506,0.008016032064128256,3,72
333,0.6406533575317604,0.6432865731462926,1894,0
334,0.018148820326678767,0.006012024048096192,11,143
335,0.33212341197822143,0.35470941883767537,891,0
336,0.484573502722323,0.5230460921843687,1164,0
337,0.05807622504537205,0.06012024048096192,26,9
338,0.007259528130671506,0.008016032064128256,10,167
339,0.2323049001814882,0.25250501002004005,266,0
340,0.14337568058076225,0.1523046092184369,130,0
341,0.18330308529945555,0.16633266533066132,217,0
342,0.014519056261343012,0.01603206412825651,14,452
343,0.5117967332123412,0.5390781563126252,883,0
344,0.021778584392014518,0.022044088176352707,10,213
345,0.8203266787658802,0.8076152304609219,2643,0
346,0.3720508166969147,0.39879759519038077,319,0
347,0.279491833030853,0.28857715430861725,489,0
348,0.019963702359346643,0.022044088176352707,22,513
349,0.2595281306715064,0.250501002004008,303,0
350,0.07985480943738657,0.08817635270541083,42,132
351,0.1869328493647913,0.19839679358717435,105,0
352,0.003629764065335753,0.004008016032064128,2,987
353,0.13793103448275862,0.14829659318637275,124,3
354,0.012704174228675136,0.014028056112224449,15,627
355,0.007259528130671506,0.008016032064128256,3,632
356,0.09074410163339383,0.09218436873747494,37,0
357,0.06896551724137931,0.07615230460921844,45,0
358,0.18148820326678766,0.18236472945891782,147,0
359,0.0054446460980036296,0.006012024048096192,2,89
360,0.036297640653357534,0.04008016032064128,17,23
361,0.038112522686025406,0.04208416833667335,24,359
362,0.13793103448275862,0.1462925851703407,103,125
363,0.41742286751361163,0.45090180360721444,437,0
364,0.47186932849364793,0.5090180360721442,1004,0
365,0.22141560798548093,0.22845691382765532,297,0
366,0.09800362976406533,0.09418837675350701,38,1
367,0.3738656987295826,0.3787575150300601,391,0
368,0.2323049001814882,0.250501002004008,355,0
369,0.2395644283121597,0.2545090180360721,180,0
370,0.16152450090744103,0.17835671342685372,125,0
371,0.1705989110707804,0.18236472945891782,223,1
372,0.19419237749546278,0.20841683366733466,224,0
373,0.26678765880217786,0.28256513026052105,549,0
374,0.16878402903811252,0.17835671342685372,103,0
375,0.33212341197822143,0.3527054108216433,349,0
376,0.012704174228675136,0.01002004008016032,8,368
377,0.3139745916515426,0.3246492985971944,439,0
378,0.18148820326678766,0.18236472945891782,267,2
379,0.12341197822141561,0.1342685370741483,221,0
380,0.08711433756805807,0.09418837675350701,73,447
381,0.014519056261343012,0.014028056112224449,17,296
382,0.009074410163339383,0.01002004008016032,13,432
383,0.047186932849364795,0.050100200400801605,33,21
384,0.029038112522686024,0.03206412825651302,28,8
385,0.0054446460980036296,0.006012024048096192,3,1722
386,0.17604355716878403,0.18837675350701402,246,1
387,0.06352087114337568,0.06012024048096192,28,15
388,0.22686025408348456,0.24248496993987975,362,0
389,0.003629764065335753,0.004008016032064128,2,868
390,0.3720508166969147,0.3687374749498998,817,0
391,0.14156079854809436,0.14829659318637275,158,0
392,0.036297640653357534,0.036072144288577156,40,281
393,0.8185117967332124,0.8136272545090181,2020,0
394,0.19056261343012704,0.19238476953907815,152,0
395,0.0054446460980036296,0.006012024048096192,3,123
396,0.016333938294010888,0.01603206412825651,6,926
397,0.09618874773139746,0.1062124248496994,84,3
398,0.5825771324863884,0.627254509018036,1167,0
399,0.016333938294010888,0.018036072144288578,10,1274
400,0.3938294010889292,0.40080160320641284,492,0
401,0.2595281306715064,0.28256513026052105,552,0
402,0.1724137931034483,0.17234468937875752,201,0
403,0.007259528130671506,0.008016032064128256,4,528
404,0.05263157894736842,0.056112224448897796,64,83
405,0.023593466424682397,0.02404809619238477,12,231
406,0.009074410163339383,0.01002004008016032,8,464
407,0.0852994555353902,0.0841683366733467,83,1
408,0.2885662431941924,0.30861723446893785,294,0
409,0.35208711433756806,0.3667334669338677,403,0
410,0.009074410163339383,0.0,8,279
411,0.009074410163339383,0.01002004008016032,7,1217
412,0.012704174228675136,0.014028056112224449,6,328
413,0.22686025408348456,0.24248496993987975,146,4
414,0.014519056261343012,0.012024048096192385,7,476
415,0.010889292196007259,0.012024048096192385,3,388
